pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month,above_action_level,lead_value_count,system_name_count
MI0000347,BAIR LAKE BIBLE CAMP (DS002),CASS,372,2025-12-31,0,N,2028-09-30,2025,12,False,3,5
MI0000347,BAIR LAKE BIBLE CAMP (DS003),CASS,372,2025-12-31,2,N,2026-09-30,2025,12,False,3,5
MI0000347,BAIR LAKE BIBLE CAMP (DS004),CASS,372,2025-12-31,1,N,2028-09-30,2025,12,False,3,5
MI0000347,BAIR LAKE BIBLE CAMP (DS005),CASS,372,2025-12-31,0,N,2026-09-30,2025,12,False,3,5
MI0000347,BAIR LAKE BIBLE CAMP (DS006),CASS,372,2025-12-31,0,N,2028-09-30,2025,12,False,3,5
MI0001335,CHARLEVOIX TOWNSHIP (DS001),CHARLEVOIX,1700,2024-12-31,0,N,2027-09-30,2024,12,False,2,2
MI0001335,CHARLEVOIX TOWNSHIP (DS002),CHARLEVOIX,1700,2024-12-31,3,N,2027-09-30,2024,12,False,2,2
MI0001970,"EAST JORDAN, CITY OF (DS001)",CHARLEVOIX,2215,2024-12-31,4,Y,2027-09-30,2024,12,False,2,2
MI0001970,"EAST JORDAN, CITY OF (DS002)",CHARLEVOIX,2215,2024-12-31,0,Y,2027-09-30,2024,12,False,2,2
